region,bygnType,statistikkvariabel,aar,value,k_kode,kommune_nr,fylkesnr,fylke
Halden,Enebolig,Boliger (bebodde og ubebodde),2006,7134,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2007,7168,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2008,7258,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2009,7323,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2010,7381,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2011,7425,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2012,7453,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2013,7528,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2014,7628,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2015,7680,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2016,7750,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2017,7808,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2018,7864,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2019,7917,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2020,7981,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2021,8010,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2022,8041,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2023,8085,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2024,8120,K-3101,3101,31,Østfold
Halden,Enebolig,Boliger (bebodde og ubebodde),2025,8148,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2006,2101,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2007,2140,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2008,2155,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2009,2171,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2010,2159,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2011,2159,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2012,2181,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2013,2204,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2014,2212,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2015,2254,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2016,2273,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2017,2286,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2018,2326,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2019,2369,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2020,2398,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2021,2432,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2022,2449,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2023,2470,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2024,2507,K-3101,3101,31,Østfold
Halden,Tomannsbolig,Boliger (bebodde og ubebodde),2025,2508,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2006,1768,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2007,1812,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2008,1874,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2009,1935,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2010,1973,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2011,1995,K-3101,3101,31,Østfold
Halden,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2012,2012,K-3101,3101,31,Østfold
